22007=32660,51877,75371,46343,49408,39675,430,37283,19411,22007
38256=32660,4080,70935,38706,76477,82175,55749,14056,82021,38256
16677=32660,22338,27241,8014,78839,58170,31660,1706,52403,16677
76127=32660,88028,57139,882,77977,70366,6880,86164,37682,76127
7766=32660,75049,30434,71190,63546,731,1311,81455,20982,7766
28580=32660,78610,59315,26503,52163,6141,25817,42146,43966,28580
75289=32660,43930,9296,4839,49815,70892,8511,13256,14763,75289
15725=32660,5905,32464,44696,70129,47271,88200,26786,6445,15725
14580=32660,22591,68705,29445,39266,19502,51394,84795,30906,14580
67986=32660,3233,8073,81430,11301,14008,29085,8886,36453,67986
19444=32660,4496,44947,40710,69851,64802,38327,23641,76416,19444
6588=32660,73380,41350,81369,38818,53197,75799,73440,62614,6588
32385=32660,88566,83124,29048,49920,62930,87275,7629,64121,32385
54518=32660,75047,62056,34992,89493,49783,55962,89949,55779,54518
71289=32660,83728,70608,38465,7158,46000,67763,71793,71442,71289
87831=32660,22139,25059,36347,41520,44965,48017,18028,56625,87831
23660=32660,21965,25728,89631,10097,33819,43483,68405,19936,23660
50805=32660,36517,50237,16286,44643,76799,37660,72617,67215,50805
61733=32660,79851,18371,41272,16568,21750,11245,67719,24233,61733
52153=32660,76374,5035,51021,88221,82004,83279,57096,50675,52153
59239=32660,35386,89780,5994,62188,858,5601,18777,64709,59239
39507=32660,79048,83605,45744,43499,38784,62317,18261,57720,39507
38485=32660,64926,17138,36450,42218,29209,80187,73999,74765,38485
49325=32660,50414,50242,84646,52644,88453,20355,36041,74259,49325
39869=32660,8071,56194,13078,67486,80462,10151,2102,5969,39869
64002=32660,78229,67360,80292,70996,83976,69163,67189,1980,64002
34394=32660,20156,48182,7326,65673,43401,40034,26302,58745,34394
37497=32660,90,67951,51893,30119,31195,55742,41685,38395,37497
9=32660,24641,54412,6534,61196,40902,42722,64825,5100,9
88354=32660,55914,81419,87170,2659,83317,45838,76454,11023,88354
20347=32660,48560,78879,13555,78390,27385,71651,45314,18940,20347
89153=32660,25131,38488,83013,25166,69434,36971,37484,17305,89153
38438=32660,14731,59512,24509,18597,30521,79278,3230,48382,38438
37458=32660,14194,22983,75706,11845,67106,79226,54108,15530,37458
28664=32660,36017,17352,87814,38218,76403,25924,54209,34088,28664
32355=32660,44750,89667,8489,34813,65078,18723,62257,69344,32355
41941=32660,19355,11153,31541,86741,45302,8782,72853,65283,41941
73921=32660,83653,58005,82866,54716,61739,38941,24651,60522,73921
78648=32660,46510,50647,65415,45398,68445,60052,4528,84860,78648
66798=32660,5029,565,69586,69726,68442,63868,22994,49511,66798
85447=32660,52643,13764,33828,1993,46081,41484,68703,13995,85447
8594=32660,36484,75717,22460,39709,36699,89641,48311,5164,8594
16436=32660,89981,41897,12539,61972,31002,59351,22097,5735,16436
63812=32660,79254,75666,23889,77811,41069,71155,37424,30749,63812
54956=32660,2608,64632,16020,81841,31525,16639,69651,36691,54956
60125=32660,13223,20803,89277,81983,88201,53098,29086,60435,60125
18368=32660,21062,30908,34496,66381,46743,2603,40705,24200,18368
16045=32660,20700,62646,16789,2258,80140,42881,13474,48545,16045
71439=32660,15025,81602,32040,27534,3596,57504,46279,1337,71439
51989=32660,7927,7439,27949,297,57997,76692,17242,21105,51989
7236=32660,60532,21599,27164,34241,85416,86830,43649,54795,7236
10278=32660,51546,19802,10626,77274,27281,15161,27911,51968,10278
88664=32660,21371,32164,29796,48205,68651,54054,52988,6427,88664
111=32660,64346,50855,6662,31124,16864,63266,14766,84749,111
73544=32660,4601,42371,40417,43002,86545,10915,59,87091,73544
60649=32660,41541,87225,73719,56151,27878,4829,81246,57805,60649
51218=32660,46968,59260,26249,61100,37857,32478,66833,70526,51218
16166=32660,45648,45957,49857,5207,40792,60332,75731,68744,16166
87623=32660,89230,83926,68808,39787,21575,85823,77624,83551,87623
4451=32660,31310,44430,66234,67219,55052,83008,61760,72013,4451
71815=32660,80954,81772,66307,50879,85755,37409,44498,17828,71815
87162=32660,69867,47007,54677,52362,62234,51015,48840,67062,87162
13060=32660,87780,2497,39797,6684,46672,76689,34192,85312,13060
24828=32660,23064,37088,73318,15553,64381,38365,49207,82387,24828
71700=32660,58840,89489,46974,27309,32829,56396,83083,3603,71700
42951=32660,49048,78959,64927,32264,28279,30185,34501,59543,42951
62637=32660,42322,87047,28667,44361,53013,3841,39590,26703,62637
34802=32660,26277,21725,37384,41932,76397,23917,37977,44076,34802
6569=32660,58151,48216,3683,82178,84536,42824,21669,61519,6569
8612=32660,31450,9934,87961,88904,54587,13898,8344,48204,8612
83920=32660,34814,58336,24218,52737,8750,82509,55255,81677,83920
47457=32660,42036,15593,7348,56589,51304,82603,75884,62027,47457
35176=32660,30221,44348,163,63361,12056,18481,88723,36166,35176
3981=32660,34137,56069,49109,72770,57705,86974,49654,46777,3981
62833=32660,66761,87387,43364,13379,26146,73170,85280,73292,62833
72734=32660,10056,71094,24202,24732,12912,69252,51705,8939,72734
44091=32660,45708,44336,86459,70085,631,48371,60815,50033,44091
76327=32660,21332,86208,31530,83459,29804,5197,59755,21163,76327
27683=32660,36260,35915,80117,17659,8651,87700,46620,35908,27683
44252=32660,31244,28687,84014,19867,18750,69508,33512,47851,44252
89201=32660,67473,73549,27708,81358,80341,70014,26297,68475,89201
13969=32660,332,72144,35422,5258,81978,32038,32596,54315,13969
58770=32660,45872,2551,61703,51570,16673,53318,27828,16233,58770
89042=32660,35367,38820,79544,49427,14922,47643,24294,55116,89042
78137=32660,50466,7343,63728,57597,63766,67521,16815,63525,78137
31336=32660,3951,54731,6879,24184,77894,19596,32668,81551,31336
67109=32660,48971,62772,67983,72059,55917,27461,83718,74609,67109
36266=32660,50786,82454,58111,31303,16022,35819,71561,26299,36266
47279=32660,68274,54862,32352,64904,63103,54864,1784,63145,47279
60760=32660,10312,34584,53141,85510,65241,82500,39392,23381,60760
30259=32660,87478,74266,70650,88210,78856,756,82748,34666,30259
57393=32660,72014,71262,51638,10443,42375,42443,27947,23454,57393
12665=32660,69053,36511,39501,22337,78745,38840,7508,55293,12665
37007=32660,23834,53392,83149,65972,77821,11317,57988,1300,37007
46018=32660,19599,21344,42874,14098,24484,40834,88092,25386,46018
14262=32660,8082,51212,82901,28376,75445,21269,72791,10575,14262
12893=32660,73224,9086,12495,60939,44412,52472,50673,38199,12893
13297=32660,12823,37095,81463,15008,43336,42968,13096,4907,13297
70664=32660,2444,50851,49823,38947,26875,65906,32709,64231,70664
46178=32660,81701,80847,47341,45410,4666,65398,66468,75464,46178
18825=32660,60384,80458,81674,8211,73919,6567,69487,13450,18825
64216=32660,81757,34276,54289,2704,26785,81764,10047,44399,64216
2162=32660,78424,27139,26839,9967,31104,8596,62388,59632,2162
55772=32660,9094,58722,573,63803,42803,45847,43400,28571,55772
34447=32660,2667,1402,58162,77836,31689,41684,20436,3840,34447
28258=32660,43354,59881,57209,57614,83207,18156,46135,26841,28258
31992=32660,62582,34762,8678,84503,48521,60375,59066,32608,31992
85927=32660,37470,52390,54757,84644,15007,66476,48370,14619,85927
53620=32660,85368,47435,47893,80626,11227,45713,23975,57918,53620
85455=32660,17642,23676,15576,49178,15235,56245,11100,51138,85455
34009=32660,89374,67727,74651,50259,57793,57403,44337,25102,34009
61290=32660,48248,53886,50639,38504,39957,68526,15886,61901,61290
22886=32660,22986,622,18126,19752,39117,8451,34931,7369,22886
26290=32660,9304,27517,9744,54473,72004,70795,74634,55724,26290
70624=32660,56821,64735,70867,85372,74979,31586,19620,41019,70624
55262=32660,53777,25705,10763,3990,62538,4299,80426,56758,55262
58891=32660,49849,39956,33138,14085,87687,58345,84751,72494,58891
50323=32660,40513,15741,68257,11629,7234,73307,22386,56872,50323
13050=32660,39173,6816,5266,56182,59391,33811,32908,48729,13050
48919=32660,86698,11058,37242,56952,4768,16586,32307,80148,48919
7663=32660,79717,33904,59922,14469,69995,30502,63242,32323,7663
1580=32660,24044,28322,35913,36866,47218,13884,69748,21973,1580
56660=32660,51981,33842,75182,76511,89513,29184,49870,17989,56660
3451=32660,39926,6288,18791,47652,14968,68221,64807,58625,3451
88765=32660,22677,85971,5337,67407,38968,48098,77810,56009,88765
76957=32660,28731,8740,56417,40352,27557,46628,79582,3275,76957
9132=32660,4418,45318,85753,121,44128,11953,53976,63366,9132
31399=32660,82439,37401,20406,69793,81330,30051,53563,14257,31399
40317=32660,74922,6305,76892,70041,15259,5946,32936,13023,40317
24711=32660,46225,33717,48987,8216,61339,64047,36579,11649,24711
33903=32660,21703,33374,61993,5692,5116,58611,33962,29437,33903
46831=32660,22315,70811,20118,26523,13529,35151,6992,33167,46831
17332=32660,39241,55080,17304,9595,10213,51616,2693,78801,17332
54443=32660,80871,82574,15091,67004,56326,77128,37285,30717,54443
43892=32660,21263,81060,81779,47579,86161,72562,69077,26834,43892
46569=32660,21035,26947,36900,46845,478,62479,65718,88983,46569
80559=32660,17611,85337,45607,3068,88019,6159,56970,69079,80559
19713=32660,16072,13636,19301,6870,51274,10904,33450,54824,19713
43815=32660,58981,71682,63146,17133,25776,79026,54597,78908,43815
32683=32660,40389,35850,84950,71110,82129,31003,45880,76515,32683
17596=32660,8584,85850,76190,27642,26386,63340,85261,60735,17596
16701=32660,86463,20568,52214,68102,24175,25048,33757,84719,16701
48332=32660,61492,55004,8465,68450,56640,80247,88137,40072,48332
32978=32660,16318,78785,25228,32009,72593,37616,1465,81033,32978
83410=32660,37015,77051,85951,88127,80524,21426,43396,39362,83410
33181=32660,79876,84835,44334,33285,12475,31022,87326,86084,33181
12193=32660,50699,15227,54167,81151,71931,23386,79412,10099,12193
84571=32660,42936,7901,40920,81753,45474,7506,68509,46554,84571
37970=32660,69648,27561,82200,68558,75232,17618,68135,37060,37970
2317=32660,59668,58720,11911,24494,17925,19345,71632,76346,2317
7926=32660,38674,39633,69207,86858,60900,48874,37413,50463,7926
70261=32660,31243,37729,53552,62119,35935,14034,1899,68777,70261
54938=32660,74809,30939,14838,78102,73361,17781,27042,70540,54938
