2597=6690,481,37287,14612,39081,2597
29424=6690,23605,17926,46978,26396,29424
31659=6690,10938,48936,47894,19499,31659
30316=6690,1308,43643,33870,7220,30316
35330=6690,38303,47312,39019,20799,35330
41522=6690,44187,20446,14652,42942,41522
18419=6690,45763,46587,13970,9947,18419
13835=6690,20352,33591,44555,30378,13835
19673=6690,27068,39471,44728,28812,19673
42905=6690,1340,7050,45636,44306,42905
11173=6690,36903,2526,8371,4627,11173
31596=6690,31727,20419,48388,20898,31596
25730=6690,6665,16051,5955,13514,25730
30430=6690,19258,48744,7144,24500,30430
24243=6690,36907,33316,45058,42472,24243
28850=6690,48071,32030,10127,45535,28850
7936=6690,13222,35035,44930,7662,7936
31483=6690,48834,30776,48107,23670,31483
32435=6690,256,46933,33087,338,32435
14851=6690,25359,39919,14462,438,14851
25412=6690,9646,9911,1250,20063,25412
19739=6690,45119,17481,13541,35813,19739
45024=6690,36147,12644,20059,34915,45024
19075=6690,34638,18191,27119,30891,19075
25043=6690,18953,16399,46662,21840,25043
27664=6690,41060,5291,8519,33518,27664
1541=6690,42450,23797,13076,3694,1541
6581=6690,4274,28868,10779,12339,6581
26183=6690,46883,15632,32836,24297,26183
36993=6690,2451,9013,31425,47237,36993
25993=6690,34786,4956,30658,11681,25993
44474=6690,19985,34619,668,46328,44474
23083=6690,23540,44132,18866,39985,23083
10865=6690,36630,37313,18181,29494,10865
43600=6690,48510,14637,7135,36287,43600
5739=6690,7821,19918,37933,20098,5739
22975=6690,23287,1483,30347,32589,22975
45299=6690,5857,4283,31728,25760,45299
45257=6690,48293,21155,894,42823,45257
20788=6690,1490,35313,13962,4264,20788
14245=6690,14963,41767,44755,6169,14245
18209=6690,49174,629,16996,41334,18209
19848=6690,34488,29213,16530,18177,19848
12255=6690,4823,20782,4446,24976,12255
24153=6690,10055,22544,47275,39031,24153
26033=6690,33743,9428,44338,42725,26033
17549=6690,2920,13909,37737,16838,17549
25006=6690,22475,10178,10702,6111,25006
216=6690,8202,39591,48412,9837,216
28822=6690,2586,26166,23940,26312,28822
33570=6690,41817,4251,38572,2385,33570
42413=6690,40787,20426,42128,27635,42413
40883=6690,18308,6288,8048,16326,40883
18957=6690,29937,19860,24133,214,18957
26546=6690,27314,3039,41167,40393,26546
48304=6690,2204,27001,20621,19044,48304
4104=6690,3714,32957,23536,33657,4104
33414=6690,36618,30148,33070,49042,33414
11554=6690,38568,40684,22699,20010,11554
3874=6690,27870,7664,19845,36741,3874
12442=6690,16655,26660,21300,46076,12442
24380=6690,33107,30745,45046,15841,24380
28782=6690,35671,6742,30771,4812,28782
31626=6690,40757,4638,20115,3154,31626
46047=6690,16010,35789,26549,21518,46047
10440=6690,13027,35119,3298,18509,10440
27811=6690,3752,35279,29324,15691,27811
11512=6690,35100,27134,18607,38312,11512
27573=6690,4058,4428,33574,39305,27573
2072=6690,20666,5066,7407,34366,2072
8217=6690,42067,46223,31515,8778,8217
21823=6690,26885,3856,37015,49621,21823
7952=6690,9062,13725,48056,2573,7952
21329=6690,23779,49587,8014,13335,21329
30395=6690,48099,26775,31263,48613,30395
35005=6690,13012,15532,18299,44981,35005
22144=6690,1895,760,26447,12266,22144
34588=6690,16145,37991,31019,26055,34588
13132=6690,25085,18132,31277,28470,13132
41069=6690,17097,26455,42388,11441,41069
5391=6690,18058,25121,30270,43678,5391
28036=6690,24764,28919,9959,14937,28036
37101=6690,17401,6045,36447,26868,37101
5487=6690,26705,37131,36660,17694,5487
43603=6690,11432,13409,41896,48707,43603
20880=6690,6100,31732,43671,3597,20880
10103=6690,578,9713,4700,31970,10103
14029=6690,2859,32962,2874,18454,14029
45458=6690,43057,28344,48047,6091,45458
28831=6690,7233,35654,34043,37155,28831
6795=6690,20448,34579,37434,251,6795
18203=6690,21210,37750,34070,44399,18203
16467=6690,19747,48208,47777,44083,16467
25389=6690,5378,21578,33225,6978,25389
145=6690,10107,6471,12096,19713,145
5770=6690,3753,24057,10106,15542,5770
33317=6690,42695,39177,1189,38558,33317
48735=6690,41096,2540,34113,35194,48735
21383=6690,7075,13042,41676,42578,21383
41714=6690,18087,18884,2222,29999,41714
25269=6690,15169,24143,33320,2063,25269
12405=6690,35130,46002,12753,9807,12405
29040=6690,8703,6723,43318,25741,29040
39915=6690,1193,43371,17746,4346,39915
17121=6690,5244,9820,36415,48400,17121
39782=6690,21521,31461,22348,37316,39782
188=6690,27451,19343,40413,12955,188
15100=6690,13552,40045,36623,39973,15100
26672=6690,12622,48491,4888,27422,26672
38889=6690,16188,12163,31582,23745,38889
1834=6690,30290,39978,26936,43232,1834
21446=6690,6329,5827,9914,35696,21446
17736=6690,23714,17395,43135,34885,17736
31808=6690,13524,47715,34077,3852,31808
19124=6690,27486,23887,30574,44435,19124
34673=6690,7646,14998,14804,11944,34673
26605=6690,23247,31572,18065,24961,26605
49079=6690,32966,33345,4639,5522,49079
35425=6690,11529,48182,4263,13097,35425
47163=6690,10555,25054,3222,31558,47163
22317=6690,12321,13058,15806,15243,22317
17391=6690,37654,49021,22619,36619,17391
4563=6690,18135,6673,16292,36914,4563
27510=6690,45683,45876,44152,20590,27510
16396=6690,48092,1548,41907,15387,16396
12054=6690,43463,27511,24409,19074,12054
5262=6690,32860,46921,31036,7545,5262
6948=6690,49873,19817,44569,9178,6948
46382=6690,17385,21759,12040,5266,46382
28376=6690,6289,12528,43750,33190,28376
39288=6690,36936,20938,39913,42147,39288
8109=6690,15585,19307,46623,38788,8109
27565=6690,12734,34410,22735,26857,27565
40207=6690,21142,11907,29293,42075,40207
42751=6690,20486,8980,22694,25837,42751
27686=6690,43061,714,11733,3816,27686
2919=6690,28692,13822,29623,30886,2919
23104=6690,39403,40657,460,842,23104
8719=6690,17137,48450,9480,44065,8719
47930=6690,44312,6705,12000,49125,47930
23468=6690,46822,6400,1297,47537,23468
27816=6690,21454,2051,3059,14770,27816
45592=6690,12686,37343,45056,8137,45592
47176=6690,11370,40488,10819,45170,47176
47801=6690,7599,40631,47643,18511,47801
49541=6690,28199,34257,38038,30396,49541
35855=6690,16220,27807,15409,36160,35855
27790=6690,37222,44674,18768,13230,27790
30852=6690,13355,22507,34831,24115,30852
3780=6690,32377,29066,330,25424,3780
49645=6690,31428,40442,13834,5174,49645
12897=6690,3641,30696,8863,8818,12897
18879=6690,37501,33850,40930,45436,18879
13060=6690,5271,38743,47367,47928,13060
566=6690,45556,32203,40542,11698,566
15952=6690,38140,12412,29987,10830,15952
2647=6690,42180,24161,22984,15953,2647
47852=6690,42062,14288,50,10598,47852
39002=6690,5832,14,688,30122,39002
37262=6690,41403,33168,27661,15001,37262
31581=6690,17156,4790,11498,29274,31581
37736=6690,9308,22722,42304,13956,37736
24704=6690,49056,5169,27347,41288,24704
29973=6690,17813,19830,34543,41306,29973
11059=6690,42726,29728,67,44287,11059
27278=6690,16678,27281,3202,641,27278
31092=6690,13234,18633,468,33671,31092
28586=6690,16311,49729,35619,12079,28586
11359=6690,10515,11559,34528,2436,11359
34772=6690,25613,3625,29316,47733,34772
30703=6690,5040,21287,36188,6958,30703
34385=6690,45737,22224,35105,29263,34385
16088=6690,21872,47720,28178,4682,16088
8311=6690,43802,4016,19643,16822,8311
31613=6690,14482,30453,579,33751,31613
40247=6690,34674,23738,1028,14962,40247
26538=6690,5158,13622,18280,40202,26538
48037=6690,34505,40015,44880,16325,48037
2454=6690,39918,8257,14442,13607,2454
41188=6690,40797,544,26633,3464,41188
23603=6690,498,44322,2356,17420,23603
9265=6690,45902,14721,9371,28053,9265
18923=6690,45719,38464,2256,11975,18923
11769=6690,19835,4644,47753,34278,11769
2948=6690,47320,36225,40860,41540,2948
26566=6690,1723,24922,11217,18545,26566
48703=6690,15274,11362,44400,41816,48703
9714=6690,47440,33964,30680,41854,9714
30481=6690,48977,37433,39552,6449,30481
30276=6690,31087,22314,11115,10576,30276
39205=6690,19957,47403,14925,9250,39205
22286=6690,17062,48527,38554,14402,22286
4305=6690,13957,43761,41893,7258,4305
35097=6690,18562,2024,25284,46836,35097
3217=6690,7039,3600,18714,14634,3217
13471=6690,46474,35527,49287,9456,13471
3200=6690,17940,19809,30540,6555,3200
7661=6690,27007,24959,41564,24679,7661
28293=6690,32534,41672,47482,32588,28293
7721=6690,4590,42962,24782,41465,7721
7483=6690,35312,49234,15981,36793,7483
31494=6690,21177,10741,46719,15951,31494
16769=6690,32530,42721,28776,2484,16769
29960=6690,37954,4735,29049,28968,29960
20081=6690,20640,36090,13125,41694,20081
12225=6690,31145,10422,36554,11125,12225
16602=6690,41686,7224,38582,39411,16602
14889=6690,5384,44665,19577,16845,14889
37805=6690,11651,34695,49442,31954,37805
38714=6690,32669,25019,7279,105,38714
25848=6690,36217,43085,20781,23244,25848
43207=6690,42660,44288,29477,13073,43207
13564=6690,5690,25335,42826,34176,13564
16923=6690,34458,36274,36634,27048,16923
14527=6690,27641,1597,1354,7077,14527
11642=6690,22122,49773,944,24516,11642
24820=6690,5165,2557,6701,14269,24820
648=6690,5367,16500,24746,41558,648
14787=6690,46438,20027,14279,47605,14787
23280=6690,44432,47949,3345,47453,23280
17394=6690,2453,6648,41994,28324,17394
15386=6690,22277,27227,25084,25791,15386
31704=6690,27679,28109,49205,14463,31704
48668=6690,43732,8704,31251,14220,48668
27748=6690,2073,16094,1455,765,27748
24914=6690,11437,10090,20586,30439,24914
37956=6690,47169,23524,10003,46999,37956
25256=6690,28693,3861,28761,11099,25256
31269=6690,48401,26365,21674,7611,31269
20473=6690,49583,42204,37145,22062,20473
23824=6690,31777,2379,41220,39036,23824
47908=6690,25023,12087,2165,14919,47908
30864=6690,42260,39714,33354,22194,30864
14691=6690,980,17316,43565,44946,14691
15466=6690,2386,17012,20989,28185,15466
11236=6690,45234,11842,26663,20015,11236
47013=6690,18672,10269,32933,18898,47013
23707=6690,15230,9562,46595,42041,23707
24802=6690,43568,16478,35057,7974,24802
33295=6690,49782,40311,1654,46335,33295
45890=6690,32890,22674,17330,15544,45890
24665=6690,7993,40979,15570,10647,24665
18837=6690,45371,16306,46429,3174,18837
43523=6690,10236,12293,49901,8110,43523
39945=6690,22483,20627,12111,14664,39945
34079=6690,8063,38585,21237,33032,34079
33829=6690,25782,33846,40201,47365,33829
33237=6690,6617,24051,48799,37408,33237
6463=6690,28412,8254,30167,35319,6463
14868=6690,16291,27965,619,20374,14868
29592=6690,15829,22432,12197,40287,29592
4452=6690,21892,6292,40629,42737,4452
48230=6690,21682,31237,30357,10272,48230
43700=6690,17838,36100,1774,17163,43700
19753=6690,19392,31158,9130,28860,19753
20553=6690,20673,4195,18466,42853,20553
9699=6690,8022,35254,34942,11912,9699
17104=6690,7781,1085,15190,17861,17104
22125=6690,12489,31462,32455,1594,22125
49254=6690,46799,3242,47802,10435,49254
5251=6690,17019,21316,37719,41809,5251
44292=6690,49185,2348,44301,34376,44292
2369=6690,48998,24353,6574,46232,2369
40414=6690,16136,29345,29922,33857,40414
44978=6690,20241,47024,12913,113,44978
21444=6690,18645,19646,25831,23609,21444
30933=6690,5937,830,19975,5682,30933
1461=6690,4154,27647,33513,11108,1461
33720=6690,26950,41910,114,17119,33720
38766=6690,26295,25012,1742,26588,38766
5783=6690,34391,15136,45806,45835,5783
34581=6690,32516,926,37628,45734,34581
48354=6690,43768,16006,12178,22997,48354
34054=6690,91,9162,49741,1707,34054
30855=6690,7627,19470,4405,14507,30855
23393=6690,37794,28218,2046,10863,23393
21816=6690,37144,36832,6128,49147,21816
14068=6690,37259,10372,4139,48391,14068
29006=6690,39731,45178,5779,48792,29006
20508=6690,15576,35278,30465,19320,20508
29576=6690,15758,32659,8372,5745,29576
1488=6690,39438,11983,16146,19454,1488
4411=6690,38160,10958,14599,28760,4411
12414=6690,32190,19182,43477,41894,12414
10943=6690,37335,48696,33567,19332,10943
47778=6690,22038,17676,10907,18393,47778
32197=6690,33060,31827,28661,4451,32197
26103=6690,23553,27994,43246,5067,26103
23825=6690,49603,69,32126,45243,23825
42077=6690,46449,3362,11564,1534,42077
44999=6690,4927,35956,24308,2342,44999
729=6690,15458,7625,5011,39634,729
18624=6690,44200,46772,41498,32211,18624
36448=6690,37852,41763,30390,2414,36448
41090=6690,37253,30419,33887,34652,41090
43913=6690,49842,39961,35573,13237,43913
42582=6690,9632,27079,33496,24312,42582
