5614=19756,12289,1758,14449,5614
2746=19756,3975,249,18829,2746
13340=19756,3957,7367,15967,13340
12877=19756,14278,2482,19693,12877
13047=19756,10868,330,7340,13047
4772=19756,348,1547,14150,4772
15266=19756,1247,1575,5511,15266
10432=19756,14422,3404,5807,10432
5046=19756,16944,161,4838,5046
1331=19756,14699,500,9845,1331
18123=19756,19005,17362,15371,18123
10268=19756,18280,16761,4433,10268
19292=19756,6129,3366,14518,19292
17302=19756,3715,650,7483,17302
19457=19756,9706,10513,13462,19457
1023=19756,15188,13054,14109,1023
4997=19756,16767,1638,18321,4997
6378=19756,8742,246,5253,6378
17035=19756,16504,6050,16873,17035
6379=19756,830,11160,13060,6379
11032=19756,7468,8812,11320,11032
1189=19756,3185,2544,5695,1189
8631=19756,4369,19935,5741,8631
3524=19756,13598,12369,16691,3524
23=19756,5140,11065,12343,23
2307=19756,5685,17453,15178,2307
3239=19756,15,10960,15155,3239
13946=19756,2293,8517,3325,13946
934=19756,5590,18411,19618,934
3131=19756,129,4245,19251,3131
7448=19756,11207,19027,16254,7448
1037=19756,13867,15115,1014,1037
14833=19756,16737,18569,13644,14833
16104=19756,4338,7462,12291,16104
17272=19756,6953,13654,1160,17272
15653=19756,17533,4058,15093,15653
6698=19756,13335,4467,2570,6698
15242=19756,18157,3915,18495,15242
19523=19756,1439,16970,1972,19523
18630=19756,9078,18286,5723,18630
6461=19756,7790,9615,16668,6461
7504=19756,4053,9287,9349,7504
5520=19756,15906,15638,3512,5520
17215=19756,15927,1673,16685,17215
6315=19756,15928,14361,15708,6315
14195=19756,15868,13238,1343,14195
15803=19756,9722,3633,19455,15803
1007=19756,8004,7357,13133,1007
10441=19756,1169,8326,15225,10441
2895=19756,13413,4459,7539,2895
5035=19756,5686,2684,2136,5035
4905=19756,19663,8972,7225,4905
8127=19756,14412,13591,5828,8127
11965=19756,10623,9949,8973,11965
15547=19756,14312,19360,628,15547
19181=19756,14335,10189,6758,19181
12571=19756,3908,6131,18302,12571
13571=19756,8612,8571,8877,13571
7745=19756,71,16159,2637,7745
13418=19756,17306,16024,7886,13418
11194=19756,19552,10821,8910,11194
5606=19756,3441,4732,756,5606
12466=19756,17712,13771,9792,12466
17345=19756,3989,7619,19443,17345
8713=19756,4497,18933,14602,8713
18703=19756,19471,2184,2523,18703
19510=19756,4601,10265,886,19510
15975=19756,12517,6253,6735,15975
14875=19756,18451,12410,7819,14875
15054=19756,19612,4551,7161,15054
16213=19756,956,2247,1715,16213
11404=19756,6870,10926,10541,11404
14624=19756,11036,13489,14322,14624
5497=19756,7878,12869,2578,5497
9850=19756,12863,10035,6174,9850
15594=19756,11706,19139,1111,15594
5102=19756,13125,5410,17446,5102
6742=19756,18390,5479,12444,6742
16740=19756,16986,3924,9880,16740
17596=19756,13922,9662,5406,17596
15925=19756,10496,3918,3555,15925
5374=19756,14458,16488,10184,5374
1430=19756,6656,14105,4624,1430
17558=19756,6090,7713,16789,17558
10090=19756,19441,2276,12421,10090
18054=19756,256,1294,6032,18054
4317=19756,6250,9502,1601,4317
18046=19756,3738,1648,13627,18046
14959=19756,15730,1066,7098,14959
6810=19756,9536,19238,12306,6810
5940=19756,16356,17500,11884,5940
18881=19756,4764,14604,1794,18881
6341=19756,19746,13360,13919,6341
14692=19756,2028,17584,5788,14692
13930=19756,6270,18792,12640,13930
5956=19756,1229,4236,1978,5956
8047=19756,4444,2251,11398,8047
18545=19756,19650,9222,6612,18545
5749=19756,11792,15073,16142,5749
3305=19756,10415,2576,3699,3305
2043=19756,12485,5498,13501,2043
7347=19756,4907,8131,13443,7347
10687=19756,8036,7165,13314,10687
3639=19756,3234,7416,14177,3639
6470=19756,1595,16494,6858,6470
19445=19756,17458,7951,10795,19445
12802=19756,15303,11114,7453,12802
3874=19756,7522,11760,18503,3874
1990=19756,10117,11602,7190,1990
7485=19756,385,9610,6670,7485
18641=19756,5177,19071,14398,18641
12314=19756,5729,7004,5501,12314
4500=19756,11767,6876,4821,4500
17276=19756,19589,17338,5287,17276
5077=19756,11752,7461,2709,5077
16578=19756,624,10188,4514,16578
4301=19756,14504,9085,19648,4301
8990=19756,7826,7205,14189,8990
7926=19756,7027,3013,14989,7926
9504=19756,14069,9948,8534,9504
6437=19756,5625,3089,9841,6437
19951=19756,17946,6747,11317,19951
16722=19756,11984,15099,234,16722
11163=19756,6180,11432,10405,11163
6893=19756,15815,13027,4480,6893
18982=19756,16111,11338,13184,18982
4199=19756,3145,13307,14664,4199
7047=19756,1118,4206,148,7047
657=19756,16355,11783,11438,657
17368=19756,11122,12225,8204,17368
12094=19756,7494,15942,18673,12094
4063=19756,1219,18416,10524,4063
935=19756,11053,12041,19720,935
6166=19756,12855,13545,16198,6166
4320=19756,13250,16479,9708,4320
6574=19756,18126,18565,5680,6574
9360=19756,4595,4809,7524,9360
9705=19756,11686,17185,6537,9705
19668=19756,10413,12878,14681,19668
17717=19756,16735,5961,19665,17717
5404=19756,10869,8266,5883,5404
1231=19756,18787,11992,12578,1231
18468=19756,19314,17398,9455,18468
5252=19756,11499,8436,8298,5252
5148=19756,16601,7111,396,5148
19411=19756,8059,3812,10919,19411
5602=19756,3315,14674,10156,5602
5022=19756,5836,8264,3219,5022
18377=19756,11045,15532,15767,18377
10979=19756,18497,5457,5100,10979
16627=19756,13261,5317,11659,16627
16951=19756,6855,9378,10150,16951
19640=19756,7108,19373,1661,19640
11826=19756,4248,17972,12936,11826
8003=19756,19777,9419,18966,8003
15506=19756,8866,18387,18973,15506
5364=19756,11141,616,4888,5364
9294=19756,11255,9734,827,9294
8766=19756,10175,2385,12672,8766
4404=19756,6890,19669,18808,4404
10327=19756,14457,11244,8179,10327
9382=19756,3339,688,8100,9382
16823=19756,14791,19107,16170,16823
2982=19756,4611,4115,2116,2982
299=19756,12267,17234,296,299
12334=19756,13671,276,13389,12334
8347=19756,11049,7058,15586,8347
19355=19756,18494,4155,18638,19355
11449=19756,13299,8489,1381,11449
9197=19756,6975,16538,18959,9197
8312=19756,19700,383,17653,8312
14326=19756,2969,10740,11670,14326
16640=19756,7717,9658,12837,16640
7678=19756,7220,559,12330,7678
17515=19756,1015,16427,18344,17515
1280=19756,15213,2910,17554,1280
17621=19756,793,17075,120,17621
19785=19756,8702,5715,19974,19785
19390=19756,2840,4933,11596,19390
16872=19756,1073,5377,2030,16872
7236=19756,11478,9865,2358,7236
13011=19756,2777,12660,1607,13011
10412=19756,9072,13138,9457,10412
8676=19756,16232,239,18485,8676
1233=19756,18099,6640,18894,1233
8611=19756,7987,14184,3497,8611
12516=19756,13535,15949,17801,12516
10032=19756,3201,13313,13438,10032
14110=19756,16062,14896,19036,14110
12732=19756,671,7653,19214,12732
17630=19756,8317,15821,18664,17630
8829=19756,1364,8940,19955,8829
2394=19756,16174,18931,5065,2394
19675=19756,17804,5043,19854,19675
3150=19756,16064,19272,3780,3150
4758=19756,13058,5411,2648,4758
15822=19756,19571,15764,2036,15822
6349=19756,11776,4711,9471,6349
15672=19756,6660,13558,9920,15672
12736=19756,18078,4354,10871,12736
18574=19756,10221,13052,11218,18574
10717=19756,7438,13328,16483,10717
17063=19756,3844,4187,15167,17063
135=19756,16046,17394,4468,135
2870=19756,8697,13465,7423,2870
4113=19756,13436,18351,13057,4113
8506=19756,17241,1670,3465,8506
5003=19756,11780,14745,7297,5003
18647=19756,7169,17526,131,18647
8140=19756,14577,5099,9760,8140
16418=19756,12785,1966,4414,16418
5530=19756,11219,394,16510,5530
19659=19756,8269,2261,13010,19659
7258=19756,15563,12476,11798,7258
13148=19756,7708,9761,16433,13148
3267=19756,6845,1701,13065,3267
14556=19756,7262,5040,16569,14556
10266=19756,1129,2328,2919,10266
12256=19756,11756,9339,18709,12256
9674=19756,18839,14100,18117,9674
8351=19756,6952,15980,19776,8351
8950=19756,4949,11513,18060,8950
14438=19756,18317,13989,2527,14438
5151=19756,18148,4127,11823,5151
18667=19756,6308,4914,3513,18667
8165=19756,8993,7932,18728,8165
12720=19756,2974,12508,9598,12720
1708=19756,11411,8177,17331,1708
13504=19756,14421,15090,19957,13504
11290=19756,18181,16752,10530,11290
19103=19756,13475,13620,5756,19103
13376=19756,11631,14441,1769,13376
5527=19756,10935,1853,8000,5527
12412=19756,6114,1067,9112,12412
18100=19756,1491,1556,8232,18100
16190=19756,17800,19574,16906,16190
9299=19756,15426,1551,18299,9299
17299=19756,9543,12530,7325,17299
19522=19756,792,9966,9639,19522
13806=19756,10631,811,10816,13806
8675=19756,8488,18913,2408,8675
19821=19756,4134,4151,9155,19821
19266=19756,3422,19341,11887,19266
19079=19756,8043,1092,14230,19079
6006=19756,19448,18154,6105,6006
10059=19756,9628,5076,15781,10059
306=19756,5640,4722,6049,306
3503=19756,14952,11882,2628,3503
15018=19756,16432,8219,2652,15018
16804=19756,12049,9777,8640,16804
18446=19756,11470,969,286,18446
14829=19756,4496,3843,6549,14829
2721=19756,16923,2907,9750,2721
4358=19756,3336,3691,12496,4358
9862=19756,17324,13712,17957,9862
2696=19756,3385,6089,19082,2696
12889=19756,6972,6814,990,12889
17195=19756,4161,12834,6686,17195
14240=19756,16710,19352,8732,14240
233=19756,14016,2086,4600,233
16453=19756,8921,13824,6651,16453
14447=19756,15931,11795,9290,14447
12718=19756,6047,9268,16440,12718
6992=19756,15211,15003,17374,6992
14798=19756,16288,19736,6608,14798
10263=19756,1232,18666,202,10263
6198=19756,1420,18183,14834,6198
14245=19756,11496,18501,9266,14245
11096=19756,7606,16744,11784,11096
13793=19756,4546,8385,17,13793
18632=19756,15520,14389,451,18632
9991=19756,18795,11677,556,9991
2924=19756,15880,15199,12814,2924
12434=19756,7604,11691,7767,12434
4172=19756,10945,9407,7829,4172
6527=19756,4169,17535,13049,6527
18947=19756,685,19204,13088,18947
19417=19756,10107,17827,18232,19417
8572=19756,2242,5820,6392,8572
5916=19756,19491,4212,1054,5916
8309=19756,2191,771,10379,8309
19466=19756,17568,2889,8632,19466
3253=19756,495,17179,15577,3253
4016=19756,15323,19024,3863,4016
5366=19756,687,17591,3522,5366
13219=19756,14495,9576,9129,13219
1315=19756,8714,15954,5521,1315
162=19756,1516,271,18212,162
6683=19756,10226,11796,13741,6683
13352=19756,7722,3232,8497,13352
14031=19756,9139,12035,2314,14031
107=19756,19763,11908,1411,107
17322=19756,17352,5418,12077,17322
12029=19756,8345,15468,19110,12029
10497=19756,12590,12125,1327,10497
6465=19756,14058,16745,18057,6465
5458=19756,11747,6289,14130,5458
8540=19756,17222,12497,17268,8540
1317=19756,5232,7016,1526,1317
14266=19756,3905,66,9600,14266
16776=19756,9901,4072,4569,16776
8331=19756,2507,8681,19401,8331
12959=19756,18652,13248,17788,12959
18583=19756,7345,12231,13697,18583
3623=19756,7586,4837,12900,3623
6307=19756,13333,4296,7477,6307
8496=19756,14442,16736,14904,8496
1823=19756,13412,13218,2159,1823
